"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"MSA"	"MSA Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2007"	"2007"	"65-69 years"	"65-69"	16
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2010"	"2010"	"65-69 years"	"65-69"	17
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2009"	"2009"	"55-59 years"	"55-59"	16
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2010"	"2010"	"60-64 years "	"60-64"	16
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2012"	"2012"	"65-69 years"	"65-69"	22
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2013"	"2013"	"85+ years"	"85+"	17
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"1999"	"1999"	"60-64 years "	"60-64"	17
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"1999"	"1999"	"65-69 years"	"65-69"	18
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"1999"	"1999"	"70-74 years"	"70-74"	20
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"1999"	"1999"	"75-79 years"	"75-79"	25
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"1999"	"1999"	"85+ years"	"85+"	17
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2000"	"2000"	"60-64 years "	"60-64"	16
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2000"	"2000"	"65-69 years"	"65-69"	18
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2000"	"2000"	"70-74 years"	"70-74"	17
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2000"	"2000"	"75-79 years"	"75-79"	19
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2001"	"2001"	"60-64 years "	"60-64"	21
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2001"	"2001"	"65-69 years"	"65-69"	17
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2001"	"2001"	"75-79 years"	"75-79"	22
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2002"	"2002"	"60-64 years "	"60-64"	16
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2002"	"2002"	"65-69 years"	"65-69"	16
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2002"	"2002"	"75-79 years"	"75-79"	17
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2003"	"2003"	"55-59 years"	"55-59"	16
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2003"	"2003"	"65-69 years"	"65-69"	16
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2003"	"2003"	"75-79 years"	"75-79"	19
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2003"	"2003"	"80-84 years"	"80-84"	17
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2004"	"2004"	"50-54 years"	"50-54"	17
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2004"	"2004"	"55-59 years"	"55-59"	17
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2004"	"2004"	"60-64 years "	"60-64"	18
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2004"	"2004"	"65-69 years"	"65-69"	17
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2004"	"2004"	"70-74 years"	"70-74"	17
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2004"	"2004"	"75-79 years"	"75-79"	19
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2005"	"2005"	"65-69 years"	"65-69"	18
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2005"	"2005"	"70-74 years"	"70-74"	18
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2005"	"2005"	"80-84 years"	"80-84"	18
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2006"	"2006"	"70-74 years"	"70-74"	23
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2007"	"2007"	"50-54 years"	"50-54"	19
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2007"	"2007"	"60-64 years "	"60-64"	19
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2007"	"2007"	"65-69 years"	"65-69"	17
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2007"	"2007"	"70-74 years"	"70-74"	20
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2007"	"2007"	"75-79 years"	"75-79"	17
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2008"	"2008"	"60-64 years "	"60-64"	18
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2009"	"2009"	"65-69 years"	"65-69"	20
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2009"	"2009"	"70-74 years"	"70-74"	19
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2009"	"2009"	"75-79 years"	"75-79"	20
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2009"	"2009"	"80-84 years"	"80-84"	21
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2010"	"2010"	"55-59 years"	"55-59"	16
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2010"	"2010"	"60-64 years "	"60-64"	22
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2010"	"2010"	"70-74 years"	"70-74"	19
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2010"	"2010"	"75-79 years"	"75-79"	18
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2010"	"2010"	"85+ years"	"85+"	17
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2011"	"2011"	"50-54 years"	"50-54"	17
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2011"	"2011"	"55-59 years"	"55-59"	16
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2011"	"2011"	"60-64 years "	"60-64"	29
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2011"	"2011"	"65-69 years"	"65-69"	17
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2011"	"2011"	"70-74 years"	"70-74"	19
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2011"	"2011"	"75-79 years"	"75-79"	17
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2012"	"2012"	"55-59 years"	"55-59"	23
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2012"	"2012"	"60-64 years "	"60-64"	22
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2012"	"2012"	"65-69 years"	"65-69"	21
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2012"	"2012"	"70-74 years"	"70-74"	24
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2012"	"2012"	"75-79 years"	"75-79"	21
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2013"	"2013"	"55-59 years"	"55-59"	17
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2013"	"2013"	"60-64 years "	"60-64"	22
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2013"	"2013"	"65-69 years"	"65-69"	18
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2013"	"2013"	"70-74 years"	"70-74"	24
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2013"	"2013"	"75-79 years"	"75-79"	16
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2013"	"2013"	"80-84 years"	"80-84"	19
	"Brain and Other Nervous System"	"31010-31040"	" Dallas-Fort Worth-Arlington, TX  "	"19100"	"2002"	"2002"	"55-59 years"	"55-59"	16
	"Brain and Other Nervous System"	"31010-31040"	" Dallas-Fort Worth-Arlington, TX  "	"19100"	"2007"	"2007"	"55-59 years"	"55-59"	21
	"Brain and Other Nervous System"	"31010-31040"	" Dallas-Fort Worth-Arlington, TX  "	"19100"	"2009"	"2009"	"65-69 years"	"65-69"	19
	"Brain and Other Nervous System"	"31010-31040"	" Dallas-Fort Worth-Arlington, TX  "	"19100"	"2013"	"2013"	"65-69 years"	"65-69"	22
	"Brain and Other Nervous System"	"31010-31040"	" Dallas-Fort Worth-Arlington, TX  "	"19100"	"2013"	"2013"	"70-74 years"	"70-74"	18
	"Brain and Other Nervous System"	"31010-31040"	" Detroit-Warren-Dearborn, MI  "	"19820"	"1999"	"1999"	"75-79 years"	"75-79"	18
	"Brain and Other Nervous System"	"31010-31040"	" Detroit-Warren-Dearborn, MI  "	"19820"	"2000"	"2000"	"70-74 years"	"70-74"	16
	"Brain and Other Nervous System"	"31010-31040"	" Detroit-Warren-Dearborn, MI  "	"19820"	"2000"	"2000"	"75-79 years"	"75-79"	21
	"Brain and Other Nervous System"	"31010-31040"	" Detroit-Warren-Dearborn, MI  "	"19820"	"2002"	"2002"	"50-54 years"	"50-54"	16
	"Brain and Other Nervous System"	"31010-31040"	" Detroit-Warren-Dearborn, MI  "	"19820"	"2005"	"2005"	"60-64 years "	"60-64"	17
	"Brain and Other Nervous System"	"31010-31040"	" Detroit-Warren-Dearborn, MI  "	"19820"	"2007"	"2007"	"70-74 years"	"70-74"	16
	"Brain and Other Nervous System"	"31010-31040"	" Detroit-Warren-Dearborn, MI  "	"19820"	"2009"	"2009"	"60-64 years "	"60-64"	18
	"Brain and Other Nervous System"	"31010-31040"	" Detroit-Warren-Dearborn, MI  "	"19820"	"2009"	"2009"	"80-84 years"	"80-84"	17
	"Brain and Other Nervous System"	"31010-31040"	" Detroit-Warren-Dearborn, MI  "	"19820"	"2012"	"2012"	"70-74 years"	"70-74"	17
	"Brain and Other Nervous System"	"31010-31040"	" Houston-The Woodlands-Sugar Land, TX  "	"26420"	"2011"	"2011"	"60-64 years "	"60-64"	20
	"Brain and Other Nervous System"	"31010-31040"	" Houston-The Woodlands-Sugar Land, TX  "	"26420"	"2012"	"2012"	"65-69 years"	"65-69"	16
	"Brain and Other Nervous System"	"31010-31040"	" Houston-The Woodlands-Sugar Land, TX  "	"26420"	"2013"	"2013"	"60-64 years "	"60-64"	16
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"1999"	"1999"	"50-54 years"	"50-54"	23
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"1999"	"1999"	"55-59 years"	"55-59"	28
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"1999"	"1999"	"60-64 years "	"60-64"	24
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"1999"	"1999"	"65-69 years"	"65-69"	19
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"1999"	"1999"	"70-74 years"	"70-74"	34
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"1999"	"1999"	"75-79 years"	"75-79"	34
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"1999"	"1999"	"80-84 years"	"80-84"	18
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2000"	"2000"	"45-49 years"	"45-49"	20
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2000"	"2000"	"65-69 years"	"65-69"	29
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2000"	"2000"	"70-74 years"	"70-74"	18
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2000"	"2000"	"75-79 years"	"75-79"	26
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2000"	"2000"	"85+ years"	"85+"	20
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2001"	"2001"	"40-44 years"	"40-44"	16
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2001"	"2001"	"50-54 years"	"50-54"	17
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2001"	"2001"	"60-64 years "	"60-64"	20
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2001"	"2001"	"65-69 years"	"65-69"	16
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2001"	"2001"	"70-74 years"	"70-74"	26
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2001"	"2001"	"75-79 years"	"75-79"	27
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2001"	"2001"	"80-84 years"	"80-84"	25
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2002"	"2002"	"50-54 years"	"50-54"	17
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2002"	"2002"	"55-59 years"	"55-59"	16
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2002"	"2002"	"60-64 years "	"60-64"	18
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2002"	"2002"	"65-69 years"	"65-69"	16
