"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"MSA"	"MSA Code"	"Year"	"Year Code"	Count	Population	Crude Rate
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"1999"	"1999"	40	693125	5.8
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2000"	"2000"	49	695946	7.0
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2001"	"2001"	41	698108	5.9
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2002"	"2002"	45	699533	6.4
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2003"	"2003"	45	701139	6.4
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2004"	"2004"	40	701811	5.7
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2005"	"2005"	61	702498	8.7
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2006"	"2006"	44	702433	6.3
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2007"	"2007"	53	703423	7.5
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2008"	"2008"	62	703300	8.8
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2009"	"2009"	68	703361	9.7
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2010"	"2010"	59	702967	8.4
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2011"	"2011"	56	702881	8.0
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2012"	"2012"	57	702203	8.1
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2013"	"2013"	64	703210	9.1
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"1999"	"1999"	79	824119	9.6
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2000"	"2000"	62	827399	7.5
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2001"	"2001"	72	831034	8.7
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2002"	"2002"	50	836753	6.0
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2003"	"2003"	72	844619	8.5
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2004"	"2004"	60	850384	7.1
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2005"	"2005"	75	854604	8.8
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2006"	"2006"	66	860365	7.7
