"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"MSA"	"MSA Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"1999"	"1999"	29	693125	4.2
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2000"	"2000"	33	695946	4.7
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2001"	"2001"	30	698108	4.3
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2002"	"2002"	29	699533	4.1
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2003"	"2003"	30	701139	4.3
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2004"	"2004"	28	701811	4.0
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2005"	"2005"	34	702498	4.8
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2006"	"2006"	29	702433	4.1
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2007"	"2007"	34	703423	4.8
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2008"	"2008"	43	703300	6.1
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2009"	"2009"	34	703361	4.8
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2010"	"2010"	53	702967	7.5
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2011"	"2011"	39	702881	5.5
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2012"	"2012"	39	702203	5.6
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2013"	"2013"	40	703210	5.7
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"1999"	"1999"	46	824119	5.6
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2000"	"2000"	35	827399	4.2
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2001"	"2001"	35	831034	4.2
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2002"	"2002"	45	836753	5.4
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2003"	"2003"	30	844619	3.6
