"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"MSA"	"MSA Code"	"Year"	"Year Code"	"Race"	"Race Code"	Deaths
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2000"	"2000"	"White"	"2106-3"	18
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2007"	"2007"	"White"	"2106-3"	17
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2010"	"2010"	"White"	"2106-3"	23
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2011"	"2011"	"White"	"2106-3"	16
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"1999"	"1999"	"White"	"2106-3"	17
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2000"	"2000"	"White"	"2106-3"	20
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2001"	"2001"	"White"	"2106-3"	22
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2002"	"2002"	"White"	"2106-3"	20
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2004"	"2004"	"White"	"2106-3"	20
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2005"	"2005"	"White"	"2106-3"	27
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2006"	"2006"	"White"	"2106-3"	18
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2008"	"2008"	"White"	"2106-3"	18
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2009"	"2009"	"White"	"2106-3"	16
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2011"	"2011"	"White"	"2106-3"	20
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2012"	"2012"	"White"	"2106-3"	20
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2013"	"2013"	"White"	"2106-3"	25
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2008"	"2008"	"White"	"2106-3"	18
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2012"	"2012"	"White"	"2106-3"	16
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"1999"	"1999"	"White"	"2106-3"	21
