"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Sex"	"Sex Code"	"MSA"	"MSA Code"	"Year"	"Year Code"	Count
	"Thyroid"	"32010"	"Female"	"F"	" Akron, OH  "	"10420"	"1999"	"1999"	31
	"Thyroid"	"32010"	"Female"	"F"	" Akron, OH  "	"10420"	"2000"	"2000"	34
	"Thyroid"	"32010"	"Female"	"F"	" Akron, OH  "	"10420"	"2001"	"2001"	28
	"Thyroid"	"32010"	"Female"	"F"	" Akron, OH  "	"10420"	"2002"	"2002"	25
	"Thyroid"	"32010"	"Female"	"F"	" Akron, OH  "	"10420"	"2003"	"2003"	33
	"Thyroid"	"32010"	"Female"	"F"	" Akron, OH  "	"10420"	"2004"	"2004"	53
	"Thyroid"	"32010"	"Female"	"F"	" Akron, OH  "	"10420"	"2005"	"2005"	40
	"Thyroid"	"32010"	"Female"	"F"	" Akron, OH  "	"10420"	"2006"	"2006"	47
	"Thyroid"	"32010"	"Female"	"F"	" Akron, OH  "	"10420"	"2007"	"2007"	42
	"Thyroid"	"32010"	"Female"	"F"	" Akron, OH  "	"10420"	"2008"	"2008"	52
	"Thyroid"	"32010"	"Female"	"F"	" Akron, OH  "	"10420"	"2009"	"2009"	75
	"Thyroid"	"32010"	"Female"	"F"	" Akron, OH  "	"10420"	"2010"	"2010"	63
	"Thyroid"	"32010"	"Female"	"F"	" Akron, OH  "	"10420"	"2011"	"2011"	71
	"Thyroid"	"32010"	"Female"	"F"	" Akron, OH  "	"10420"	"2012"	"2012"	79
	"Thyroid"	"32010"	"Female"	"F"	" Akron, OH  "	"10420"	"2013"	"2013"	79
	"Thyroid"	"32010"	"Female"	"F"	" Albany-Schenectady-Troy, NY  "	"10580"	"1999"	"1999"	67
	"Thyroid"	"32010"	"Female"	"F"	" Albany-Schenectady-Troy, NY  "	"10580"	"2000"	"2000"	71
	"Thyroid"	"32010"	"Female"	"F"	" Albany-Schenectady-Troy, NY  "	"10580"	"2001"	"2001"	49
	"Thyroid"	"32010"	"Female"	"F"	" Albany-Schenectady-Troy, NY  "	"10580"	"2002"	"2002"	73
	"Thyroid"	"32010"	"Female"	"F"	" Albany-Schenectady-Troy, NY  "	"10580"	"2003"	"2003"	72
	"Thyroid"	"32010"	"Female"	"F"	" Albany-Schenectady-Troy, NY  "	"10580"	"2004"	"2004"	76
	"Thyroid"	"32010"	"Female"	"F"	" Albany-Schenectady-Troy, NY  "	"10580"	"2005"	"2005"	66
	"Thyroid"	"32010"	"Female"	"F"	" Albany-Schenectady-Troy, NY  "	"10580"	"2006"	"2006"	90
	"Thyroid"	"32010"	"Female"	"F"	" Albany-Schenectady-Troy, NY  "	"10580"	"2007"	"2007"	86
	"Thyroid"	"32010"	"Female"	"F"	" Albany-Schenectady-Troy, NY  "	"10580"	"2008"	"2008"	108
	"Thyroid"	"32010"	"Female"	"F"	" Albany-Schenectady-Troy, NY  "	"10580"	"2009"	"2009"	122
	"Thyroid"	"32010"	"Female"	"F"	" Albany-Schenectady-Troy, NY  "	"10580"	"2010"	"2010"	119
	"Thyroid"	"32010"	"Female"	"F"	" Albany-Schenectady-Troy, NY  "	"10580"	"2011"	"2011"	121
	"Thyroid"	"32010"	"Female"	"F"	" Albany-Schenectady-Troy, NY  "	"10580"	"2012"	"2012"	129
	"Thyroid"	"32010"	"Female"	"F"	" Albany-Schenectady-Troy, NY  "	"10580"	"2013"	"2013"	105
	"Thyroid"	"32010"	"Female"	"F"	" Albuquerque, NM  "	"10740"	"1999"	"1999"	49
	"Thyroid"	"32010"	"Female"	"F"	" Albuquerque, NM  "	"10740"	"2000"	"2000"	55
	"Thyroid"	"32010"	"Female"	"F"	" Albuquerque, NM  "	"10740"	"2001"	"2001"	70
	"Thyroid"	"32010"	"Female"	"F"	" Albuquerque, NM  "	"10740"	"2002"	"2002"	90
	"Thyroid"	"32010"	"Female"	"F"	" Albuquerque, NM  "	"10740"	"2003"	"2003"	87
	"Thyroid"	"32010"	"Female"	"F"	" Albuquerque, NM  "	"10740"	"2004"	"2004"	101
	"Thyroid"	"32010"	"Female"	"F"	" Albuquerque, NM  "	"10740"	"2005"	"2005"	104
	"Thyroid"	"32010"	"Female"	"F"	" Albuquerque, NM  "	"10740"	"2006"	"2006"	94
	"Thyroid"	"32010"	"Female"	"F"	" Albuquerque, NM  "	"10740"	"2007"	"2007"	104
	"Thyroid"	"32010"	"Female"	"F"	" Albuquerque, NM  "	"10740"	"2008"	"2008"	98
	"Thyroid"	"32010"	"Female"	"F"	" Albuquerque, NM  "	"10740"	"2009"	"2009"	124
	"Thyroid"	"32010"	"Female"	"F"	" Albuquerque, NM  "	"10740"	"2010"	"2010"	123
	"Thyroid"	"32010"	"Female"	"F"	" Albuquerque, NM  "	"10740"	"2011"	"2011"	121
	"Thyroid"	"32010"	"Female"	"F"	" Albuquerque, NM  "	"10740"	"2012"	"2012"	132
	"Thyroid"	"32010"	"Female"	"F"	" Albuquerque, NM  "	"10740"	"2013"	"2013"	159
	"Thyroid"	"32010"	"Female"	"F"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"1999"	"1999"	64
	"Thyroid"	"32010"	"Female"	"F"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2000"	"2000"	84
	"Thyroid"	"32010"	"Female"	"F"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2001"	"2001"	99
	"Thyroid"	"32010"	"Female"	"F"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2002"	"2002"	124
	"Thyroid"	"32010"	"Female"	"F"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2003"	"2003"	135
	"Thyroid"	"32010"	"Female"	"F"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2004"	"2004"	120
	"Thyroid"	"32010"	"Female"	"F"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2005"	"2005"	135
	"Thyroid"	"32010"	"Female"	"F"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2006"	"2006"	137
	"Thyroid"	"32010"	"Female"	"F"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2007"	"2007"	134
	"Thyroid"	"32010"	"Female"	"F"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2008"	"2008"	128
	"Thyroid"	"32010"	"Female"	"F"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2009"	"2009"	151
	"Thyroid"	"32010"	"Female"	"F"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2010"	"2010"	149
	"Thyroid"	"32010"	"Female"	"F"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2011"	"2011"	123
	"Thyroid"	"32010"	"Female"	"F"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2012"	"2012"	156
	"Thyroid"	"32010"	"Female"	"F"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2013"	"2013"	154
	"Thyroid"	"32010"	"Female"	"F"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"1999"	"1999"	188
	"Thyroid"	"32010"	"Female"	"F"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2000"	"2000"	190
	"Thyroid"	"32010"	"Female"	"F"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2001"	"2001"	217
	"Thyroid"	"32010"	"Female"	"F"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2002"	"2002"	279
	"Thyroid"	"32010"	"Female"	"F"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2003"	"2003"	271
	"Thyroid"	"32010"	"Female"	"F"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2004"	"2004"	303
	"Thyroid"	"32010"	"Female"	"F"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2005"	"2005"	342
	"Thyroid"	"32010"	"Female"	"F"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2006"	"2006"	404
	"Thyroid"	"32010"	"Female"	"F"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2007"	"2007"	417
	"Thyroid"	"32010"	"Female"	"F"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2008"	"2008"	426
	"Thyroid"	"32010"	"Female"	"F"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2009"	"2009"	464
	"Thyroid"	"32010"	"Female"	"F"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2010"	"2010"	450
	"Thyroid"	"32010"	"Female"	"F"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2011"	"2011"	505
	"Thyroid"	"32010"	"Female"	"F"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2012"	"2012"	506
	"Thyroid"	"32010"	"Female"	"F"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2013"	"2013"	517
	"Thyroid"	"32010"	"Female"	"F"	" Augusta-Richmond County, GA-SC  "	"12260"	"1999"	"1999"	16
	"Thyroid"	"32010"	"Female"	"F"	" Augusta-Richmond County, GA-SC  "	"12260"	"2000"	"2000"	18
	"Thyroid"	"32010"	"Female"	"F"	" Augusta-Richmond County, GA-SC  "	"12260"	"2001"	"2001"	28
	"Thyroid"	"32010"	"Female"	"F"	" Augusta-Richmond County, GA-SC  "	"12260"	"2002"	"2002"	31
	"Thyroid"	"32010"	"Female"	"F"	" Augusta-Richmond County, GA-SC  "	"12260"	"2003"	"2003"	30
	"Thyroid"	"32010"	"Female"	"F"	" Augusta-Richmond County, GA-SC  "	"12260"	"2004"	"2004"	48
	"Thyroid"	"32010"	"Female"	"F"	" Augusta-Richmond County, GA-SC  "	"12260"	"2005"	"2005"	38
	"Thyroid"	"32010"	"Female"	"F"	" Augusta-Richmond County, GA-SC  "	"12260"	"2006"	"2006"	40
	"Thyroid"	"32010"	"Female"	"F"	" Augusta-Richmond County, GA-SC  "	"12260"	"2007"	"2007"	37
