"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"MSA"	"MSA Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	Deaths
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"1999"	"1999"	"Male"	"M"	17
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2001"	"2001"	"Male"	"M"	16
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2003"	"2003"	"Male"	"M"	19
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2004"	"2004"	"Male"	"M"	17
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2005"	"2005"	"Male"	"M"	21
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2006"	"2006"	"Male"	"M"	16
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2007"	"2007"	"Male"	"M"	17
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2008"	"2008"	"Male"	"M"	27
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2009"	"2009"	"Male"	"M"	21
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2010"	"2010"	"Male"	"M"	26
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2011"	"2011"	"Male"	"M"	23
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2012"	"2012"	"Male"	"M"	23
	"Brain and Other Nervous System"	"31010-31040"	" Akron, OH  "	"10420"	"2013"	"2013"	"Male"	"M"	24
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"1999"	"1999"	"Male"	"M"	29
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2002"	"2002"	"Male"	"M"	25
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2003"	"2003"	"Male"	"M"	16
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2004"	"2004"	"Male"	"M"	16
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2005"	"2005"	"Male"	"M"	21
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2006"	"2006"	"Male"	"M"	20
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2007"	"2007"	"Male"	"M"	28
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2008"	"2008"	"Male"	"M"	26
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2009"	"2009"	"Male"	"M"	30
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2010"	"2010"	"Male"	"M"	23
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2011"	"2011"	"Male"	"M"	16
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2012"	"2012"	"Male"	"M"	25
	"Brain and Other Nervous System"	"31010-31040"	" Albany-Schenectady-Troy, NY  "	"10580"	"2013"	"2013"	"Male"	"M"	27
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2000"	"2000"	"Male"	"M"	16
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2002"	"2002"	"Male"	"M"	18
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2003"	"2003"	"Male"	"M"	27
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2004"	"2004"	"Male"	"M"	21
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2005"	"2005"	"Male"	"M"	19
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2006"	"2006"	"Male"	"M"	23
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2007"	"2007"	"Male"	"M"	20
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2008"	"2008"	"Male"	"M"	20
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2011"	"2011"	"Male"	"M"	22
	"Brain and Other Nervous System"	"31010-31040"	" Albuquerque, NM  "	"10740"	"2012"	"2012"	"Male"	"M"	21
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"1999"	"1999"	"Male"	"M"	16
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2002"	"2002"	"Male"	"M"	16
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2003"	"2003"	"Male"	"M"	21
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2004"	"2004"	"Male"	"M"	19
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2005"	"2005"	"Male"	"M"	20
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2006"	"2006"	"Male"	"M"	24
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2007"	"2007"	"Male"	"M"	16
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2010"	"2010"	"Male"	"M"	25
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2011"	"2011"	"Male"	"M"	21
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2012"	"2012"	"Male"	"M"	22
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2013"	"2013"	"Male"	"M"	27
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"1999"	"1999"	"Male"	"M"	68
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2000"	"2000"	"Male"	"M"	89
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2001"	"2001"	"Male"	"M"	76
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2002"	"2002"	"Male"	"M"	78
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2003"	"2003"	"Male"	"M"	85
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2004"	"2004"	"Male"	"M"	83
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2005"	"2005"	"Male"	"M"	85
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2006"	"2006"	"Male"	"M"	95
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2007"	"2007"	"Male"	"M"	89
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2008"	"2008"	"Male"	"M"	96
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2009"	"2009"	"Male"	"M"	92
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2010"	"2010"	"Male"	"M"	97
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2011"	"2011"	"Male"	"M"	120
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2012"	"2012"	"Male"	"M"	130
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2013"	"2013"	"Male"	"M"	134
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"1999"	"1999"	"Male"	"M"	22
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2007"	"2007"	"Male"	"M"	16
