"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	"Race"	"Race Code"	Deaths
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"1999"	"1999"	"Black or African American"	"2054-5"	24
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"1999"	"1999"	"White"	"2106-3"	186
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2000"	"2000"	"Black or African American"	"2054-5"	24
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2000"	"2000"	"White"	"2106-3"	193
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2001"	"2001"	"Black or African American"	"2054-5"	20
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2001"	"2001"	"White"	"2106-3"	183
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2002"	"2002"	"Black or African American"	"2054-5"	27
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2002"	"2002"	"White"	"2106-3"	192
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2003"	"2003"	"Black or African American"	"2054-5"	28
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2003"	"2003"	"White"	"2106-3"	176
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2004"	"2004"	"Black or African American"	"2054-5"	23
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2004"	"2004"	"White"	"2106-3"	192
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2005"	"2005"	"Black or African American"	"2054-5"	17
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2005"	"2005"	"White"	"2106-3"	175
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2006"	"2006"	"Black or African American"	"2054-5"	25
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2006"	"2006"	"White"	"2106-3"	173
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2007"	"2007"	"Black or African American"	"2054-5"	26
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2007"	"2007"	"White"	"2106-3"	215
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2008"	"2008"	"Black or African American"	"2054-5"	29
