"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Sex"	"Sex Code"	"States"	"States Code"	"Year"	"Year Code"	Count
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Alabama"	"01"	"1999"	"1999"	130
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Alabama"	"01"	"2000"	"2000"	146
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Alabama"	"01"	"2001"	"2001"	145
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Alabama"	"01"	"2002"	"2002"	138
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Alabama"	"01"	"2003"	"2003"	131
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Alabama"	"01"	"2004"	"2004"	143
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Alabama"	"01"	"2005"	"2005"	138
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Alabama"	"01"	"2006"	"2006"	164
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Alabama"	"01"	"2007"	"2007"	146
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Alabama"	"01"	"2008"	"2008"	171
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Alabama"	"01"	"2009"	"2009"	162
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Alabama"	"01"	"2010"	"2010"	152
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Alabama"	"01"	"2011"	"2011"	134
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Alabama"	"01"	"2012"	"2012"	174
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Alabama"	"01"	"2013"	"2013"	168
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Alaska"	"02"	"1999"	"1999"	19
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Alaska"	"02"	"2005"	"2005"	19
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Alaska"	"02"	"2007"	"2007"	25
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Alaska"	"02"	"2008"	"2008"	22
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Alaska"	"02"	"2009"	"2009"	16
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Alaska"	"02"	"2010"	"2010"	23
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Alaska"	"02"	"2011"	"2011"	17
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Alaska"	"02"	"2012"	"2012"	16
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Arizona"	"04"	"1999"	"1999"	164
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Arizona"	"04"	"2000"	"2000"	140
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Arizona"	"04"	"2001"	"2001"	160
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Arizona"	"04"	"2002"	"2002"	151
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Arizona"	"04"	"2003"	"2003"	146
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Arizona"	"04"	"2004"	"2004"	197
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Arizona"	"04"	"2005"	"2005"	194
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Arizona"	"04"	"2006"	"2006"	188
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Arizona"	"04"	"2007"	"2007"	187
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Arizona"	"04"	"2008"	"2008"	202
