"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"States Code"	"Year"	"Year Code"	Count	Population	Crude Rate
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"1999"	"1999"	295	4430141	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2000"	"2000"	296	4452173	6.6
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2001"	"2001"	302	4467634	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2002"	"2002"	306	4480089	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2003"	"2003"	300	4503491	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2004"	"2004"	316	4530729	7.0
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2005"	"2005"	296	4565917	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2006"	"2006"	308	4628981	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2007"	"2007"	334	4672840	7.1
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2008"	"2008"	371	4718206	7.9
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2009"	"2009"	361	4757938	7.6
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2010"	"2010"	331	4785822	6.9
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2011"	"2011"	329	4801695	6.9
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2012"	"2012"	392	4817484	8.1
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2013"	"2013"	349	4833996	7.2
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"1999"	"1999"	35	624779	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2000"	"2000"	31	627963	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2001"	"2001"	35	633714	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2002"	"2002"	36	642337	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2003"	"2003"	31	648414	4.8
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2004"	"2004"	41	659286	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2005"	"2005"	38	666946	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2006"	"2006"	26	675302	3.9
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2007"	"2007"	40	680300	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2008"	"2008"	46	687455	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2009"	"2009"	53	698895	7.6
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2010"	"2010"	68	713856	9.5
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2011"	"2011"	40	722572	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2012"	"2012"	42	731081	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2013"	"2013"	37	737259	5.0
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"1999"	"1999"	347	5023823	6.9
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2000"	"2000"	319	5160586	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2001"	"2001"	334	5273477	6.3
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2002"	"2002"	359	5396255	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2003"	"2003"	334	5510364	6.1
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2004"	"2004"	410	5652404	7.3
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2005"	"2005"	411	5839077	7.0
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2006"	"2006"	428	6029141	7.1
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2007"	"2007"	421	6167681	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2008"	"2008"	456	6280362	7.3
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2009"	"2009"	459	6343154	7.2
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2010"	"2010"	458	6411999	7.1
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2011"	"2011"	458	6472867	7.1
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2012"	"2012"	466	6556236	7.1
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2013"	"2013"	432	6634997	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2001"	"2001"	150	2691571	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2002"	"2002"	149	2705927	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2003"	"2003"	185	2724816	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2004"	"2004"	180	2749686	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2005"	"2005"	186	2781097	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2006"	"2006"	201	2821761	7.1
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2007"	"2007"	223	2848650	7.8
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2008"	"2008"	203	2874554	7.1
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2009"	"2009"	204	2896843	7.0
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2010"	"2010"	212	2922297	7.3
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2011"	"2011"	200	2938430	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2012"	"2012"	218	2949300	7.4
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2013"	"2013"	227	2958765	7.7
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"1999"	"1999"	2047	33499204	6.1
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2000"	"2000"	1956	33987977	5.8
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2001"	"2001"	2004	34479458	5.8
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2002"	"2002"	2099	34871843	6.0
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2003"	"2003"	2163	35253159	6.1
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2004"	"2004"	2151	35574576	6.0
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2005"	"2005"	2145	35827943	6.0
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2006"	"2006"	2094	36021202	5.8
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2007"	"2007"	2234	36250311	6.2
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2008"	"2008"	2214	36604337	6.0
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2009"	"2009"	2300	36961229	6.2
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2010"	"2010"	2295	37336011	6.1
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2011"	"2011"	2243	37701901	5.9
