"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"1999"	"1999"	210	4430141	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2000"	"2000"	217	4452173	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2001"	"2001"	203	4467634	4.5
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2002"	"2002"	219	4480089	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2003"	"2003"	204	4503491	4.5
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2004"	"2004"	215	4530729	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2005"	"2005"	193	4565917	4.2
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2006"	"2006"	198	4628981	4.3
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2007"	"2007"	242	4672840	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2008"	"2008"	247	4718206	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2009"	"2009"	268	4757938	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2010"	"2010"	274	4785822	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2011"	"2011"	263	4801695	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2012"	"2012"	266	4817484	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2013"	"2013"	298	4833996	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"1999"	"1999"	19	624779	3.0
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2001"	"2001"	22	633714	3.5
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2002"	"2002"	20	642337	3.1
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2003"	"2003"	19	648414	2.9
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2004"	"2004"	24	659286	3.6
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2005"	"2005"	21	666946	3.1
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2006"	"2006"	19	675302	2.8
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2007"	"2007"	20	680300	2.9
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2008"	"2008"	26	687455	3.8
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2009"	"2009"	25	698895	3.6
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2010"	"2010"	24	713856	3.4
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2011"	"2011"	39	722572	5.4
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2012"	"2012"	27	731081	3.7
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2013"	"2013"	30	737259	4.1
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"1999"	"1999"	226	5023823	4.5
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2000"	"2000"	220	5160586	4.3
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2001"	"2001"	218	5273477	4.1
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2002"	"2002"	215	5396255	4.0
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2003"	"2003"	222	5510364	4.0
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2004"	"2004"	227	5652404	4.0
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2005"	"2005"	279	5839077	4.8
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2006"	"2006"	252	6029141	4.2
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2007"	"2007"	254	6167681	4.1
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2008"	"2008"	273	6280362	4.3
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2009"	"2009"	278	6343154	4.4
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2010"	"2010"	275	6411999	4.3
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2011"	"2011"	278	6472867	4.3
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2012"	"2012"	340	6556236	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2013"	"2013"	329	6634997	5.0
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"1999"	"1999"	172	2651860	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2000"	"2000"	161	2678588	6.0
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2001"	"2001"	140	2691571	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2002"	"2002"	154	2705927	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2003"	"2003"	148	2724816	5.4
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2004"	"2004"	147	2749686	5.3
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2005"	"2005"	146	2781097	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2006"	"2006"	134	2821761	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2007"	"2007"	173	2848650	6.1
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2008"	"2008"	158	2874554	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2009"	"2009"	164	2896843	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2010"	"2010"	157	2922297	5.4
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2011"	"2011"	157	2938430	5.3
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2012"	"2012"	175	2949300	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2013"	"2013"	168	2958765	5.7
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"1999"	"1999"	1442	33499204	4.3
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2000"	"2000"	1380	33987977	4.1
